Name,Code,Employment2023,Employment2033,EmploymentChangePercent,AnnualWage,Handbook
"        Political science teachers, postsecondary",25-1065,21.7,22.4,3.3,"94,680",https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm
"        Psychology teachers, postsecondary",25-1066,51.1,53.6,5.0,"80,330",https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm
"        Sociology teachers, postsecondary",25-1067,16.1,16.6,3.4,"82,540",https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm
"        Social sciences teachers, postsecondary, all other",25-1069,20.3,20.8,2.7,"75,040",https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm
"        Health specialties teachers, postsecondary",25-1071,284.2,337.5,18.8,"105,620",https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm
"        Nursing instructors and teachers, postsecondary",25-1072,89.9,105.9,17.9,"79,940",https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm
"        Education teachers, postsecondary",25-1081,77.2,79.7,3.3,"72,090",https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm
"        Library science teachers, postsecondary",25-1082,5.3,5.5,4.2,"78,630",https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm
"        Criminal justice and law enforcement teachers, postsecondary",25-1111,16.1,16.6,2.9,"71,470",https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm
"        Law teachers, postsecondary",25-1112,19.0,19.4,2.2,"126,650",https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm
"        Social work teachers, postsecondary",25-1113,15.1,15.7,3.6,"76,210",https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm
"        Art, drama, and music teachers, postsecondary",25-1121,127.4,130.9,2.7,"80,190",https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm
"        Communications teachers, postsecondary",25-1122,35.0,36.2,3.3,"77,800",https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm
"        English language and literature teachers, postsecondary",25-1123,70.1,70.9,1.1,"78,270",https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm
"        Foreign language and literature teachers, postsecondary",25-1124,26.1,26.4,1.0,"77,010",https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm
"        History teachers, postsecondary",25-1125,25.8,26.0,0.9,"81,500",https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm
"        Philosophy and religion teachers, postsecondary",25-1126,26.4,27.0,2.0,"78,050",https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm
"        Family and consumer sciences teachers, postsecondary",25-1192,3.3,3.5,4.3,"77,280",https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm
"        Recreation and fitness studies teachers, postsecondary",25-1193,16.2,16.7,3.4,"75,890",https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm
"        Career/technical education teachers, postsecondary",25-1194,121.8,121.9,0.1,"61,490",https://www.bls.gov/ooh/education-training-and-library/career-and-technical-education-teachers.htm
"        Postsecondary teachers, all other",25-1199,202.5,209.0,3.2,"78,490",
"        Preschool teachers, except special education",25-2011,528.5,551.8,4.4,"37,120",https://www.bls.gov/ooh/education-training-and-library/preschool-teachers.htm
"        Kindergarten teachers, except special education",25-2012,122.7,121.8,-0.7,"61,430",https://www.bls.gov/ooh/education-training-and-library/kindergarten-and-elementary-school-teachers.htm
"        Elementary school teachers, except special education",25-2021,"1,441.0","1,430.4",-0.7,"62,340",https://www.bls.gov/ooh/education-training-and-library/kindergarten-and-elementary-school-teachers.htm
"        Middle school teachers, except special and career/technical education",25-2022,640.0,635.3,-0.7,"62,970",https://www.bls.gov/ooh/education-training-and-library/middle-school-teachers.htm
"        Career/technical education teachers, middle school",25-2023,12.2,12.1,-0.9,"63,620",https://www.bls.gov/ooh/education-training-and-library/career-and-technical-education-teachers.htm
"        Secondary school teachers, except special and career/technical education",25-2031,"1,071.4","1,064.5",-0.6,"64,580",https://www.bls.gov/ooh/education-training-and-library/high-school-teachers.htm
"        Career/technical education teachers, secondary school",25-2032,89.6,88.9,-0.8,"63,910",https://www.bls.gov/ooh/education-training-and-library/career-and-technical-education-teachers.htm
"        Special education teachers, preschool",25-2051,25.7,26.1,1.6,"62,190",https://www.bls.gov/ooh/education-training-and-library/special-education-teachers.htm
"        Special education teachers, kindergarten and elementary school",25-2052,212.7,211.2,-0.7,"63,000",https://www.bls.gov/ooh/education-training-and-library/special-education-teachers.htm
"        Special education teachers, middle school",25-2057,88.6,87.8,-0.9,"64,880",https://www.bls.gov/ooh/education-training-and-library/special-education-teachers.htm
"        Special education teachers, secondary school",25-2058,159.5,158.6,-0.6,"69,590",https://www.bls.gov/ooh/education-training-and-library/special-education-teachers.htm
"        Special education teachers, all other",25-2059,45.1,46.0,2.1,"67,430",https://www.bls.gov/ooh/education-training-and-library/special-education-teachers.htm
"      Adult basic education, adult secondary education, and english as a second language instructors",25-3011,41.7,36.4,-12.7,"59,950",https://www.bls.gov/ooh/education-training-and-library/adult-literacy-and-ged-teachers.htm
      Self-enrichment teachers,25-3021,370.1,382.8,3.4,"45,590",
"      Substitute teachers, short-term",25-3031,473.3,489.2,3.4,"38,470",
      Tutors,25-3041,195.1,196.4,0.7,"40,090",https://www.bls.gov/ooh/education-training-and-library/tutors.htm
"      Teachers and instructors, all other",25-3099,143.5,145.5,1.4,"64,690",
        Archivists,25-4011,8.8,9.5,8.0,"61,570",https://www.bls.gov/ooh/education-training-and-library/curators-museum-technicians-and-conservators.htm
        Curators,25-4012,14.2,16.0,12.2,"61,770",https://www.bls.gov/ooh/education-training-and-library/curators-museum-technicians-and-conservators.htm
        Museum technicians and conservators,25-4013,14.4,16.0,10.7,"47,460",https://www.bls.gov/ooh/education-training-and-library/curators-museum-technicians-and-conservators.htm
      Librarians and media collections specialists,25-4022,142.2,146.4,2.9,"64,320",https://www.bls.gov/ooh/education-training-and-library/librarians.htm
      Library technicians,25-4031,81.5,77.0,-5.6,"39,970",https://www.bls.gov/ooh/education-training-and-library/library-technicians-and-assistants.htm
      Farm and home management educators,25-9021,9.8,9.7,-1.7,"58,120",
      Instructional coordinators,25-9031,225.2,229.3,1.8,"74,720",https://www.bls.gov/ooh/education-training-and-library/instructional-coordinators.htm
"        Teaching assistants, postsecondary",25-9044,184.6,192.1,4.0,"44,930",
"        Teaching assistants, except postsecondary",25-9045,"1,389.2","1,381.0",-0.6,"35,240",https://www.bls.gov/ooh/education-training-and-library/teacher-assistants.htm
"      Educational instruction and library workers, all other",25-9099,127.2,129.7,2.0,"48,400",
        Art directors,27-1011,126.6,133.2,5.2,"111,040",https://www.bls.gov/ooh/arts-and-design/art-directors.htm
        Craft artists,27-1012,14.3,14.6,2.2,"38,480",https://www.bls.gov/ooh/arts-and-design/craft-and-fine-artists.htm
"        Fine artists, including painters, sculptors, and illustrators",27-1013,26.3,27.4,4.0,"60,560",https://www.bls.gov/ooh/arts-and-design/craft-and-fine-artists.htm
        Special effects artists and animators,27-1014,73.3,76.4,4.3,"99,800",https://www.bls.gov/ooh/arts-and-design/multimedia-artists-and-animators.htm
"        Artists and related workers, all other",27-1019,13.4,13.8,3.3,"72,760",https://www.bls.gov/ooh/arts-and-design/craft-and-fine-artists.htm
        Commercial and industrial designers,27-1021,34.0,35.1,3.1,"79,450",https://www.bls.gov/ooh/arts-and-design/industrial-designers.htm
        Fashion designers,27-1022,21.9,22.9,4.7,"80,690",https://www.bls.gov/ooh/arts-and-design/fashion-designers.htm
        Floral designers,27-1023,53.7,48.1,-10.4,"36,120",https://www.bls.gov/ooh/arts-and-design/floral-designers.htm
        Graphic designers,27-1024,267.2,273.8,2.5,"61,300",https://www.bls.gov/ooh/arts-and-design/graphic-designers.htm
        Interior designers,27-1025,92.2,95.9,4.0,"63,490",https://www.bls.gov/ooh/arts-and-design/interior-designers.htm
        Merchandise displayers and window trimmers,27-1026,176.4,184.7,4.8,"37,350",
        Set and exhibit designers,27-1027,29.6,31.1,5.1,"66,280",https://www.bls.gov/ooh/arts-and-design/set-and-exhibit-designers.htm
"        Designers, all other",27-1029,30.4,31.3,3.0,"66,220",
        Actors,27-2011,76.0,79.5,4.5,—,https://www.bls.gov/ooh/entertainment-and-sports/actors.htm
        Producers and directors,27-2012,167.9,181.5,8.0,"83,480",https://www.bls.gov/ooh/entertainment-and-sports/producers-and-directors.htm
        Athletes and sports competitors,27-2021,25.1,27.8,11.1,"62,360",https://www.bls.gov/ooh/entertainment-and-sports/athletes-and-sports-competitors.htm
        Coaches and scouts,27-2022,307.1,334.0,8.8,"45,920",https://www.bls.gov/ooh/entertainment-and-sports/coaches-and-scouts.htm
"        Umpires, referees, and other sports officials",27-2023,23.1,25.5,10.4,"38,820",https://www.bls.gov/ooh/entertainment-and-sports/umpires-referees-and-other-sports-officials.htm
        Dancers,27-2031,15.2,16.2,6.7,—,https://www.bls.gov/ooh/entertainment-and-sports/dancers-and-choreographers.htm
        Choreographers,27-2032,5.4,5.7,5.3,"55,600",https://www.bls.gov/ooh/entertainment-and-sports/dancers-and-choreographers.htm
        Music directors and composers,27-2041,50.3,51.6,2.7,"63,670",https://www.bls.gov/ooh/entertainment-and-sports/music-directors-and-composers.htm
        Musicians and singers,27-2042,169.3,172.8,2.1,—,https://www.bls.gov/ooh/entertainment-and-sports/musicians-and-singers.htm
"        Disc jockeys, except radio",27-2091,21.0,22.1,5.1,—,https://www.bls.gov/ooh/media-and-communication/announcers.htm
"        Entertainers and performers, sports and related workers, all other",27-2099,35.7,38.3,7.3,—,
      Broadcast announcers and radio disc jockeys,27-3011,26.5,25.4,-4.0,"45,680",https://www.bls.gov/ooh/media-and-communication/announcers.htm
"      News analysts, reporters, and journalists",27-3023,49.8,48.4,-2.7,"60,280",https://www.bls.gov/ooh/media-and-communication/reporters-correspondents-and-broadcast-news-analysts.htm
      Public relations specialists,27-3031,308.0,327.2,6.2,"69,780",https://www.bls.gov/ooh/media-and-communication/public-relations-specialists.htm
        Editors,27-3041,114.2,111.9,-2.0,"75,260",https://www.bls.gov/ooh/media-and-communication/editors.htm
        Technical writers,27-3042,50.1,52.1,4.0,"91,670",https://www.bls.gov/ooh/media-and-communication/technical-writers.htm
        Writers and authors,27-3043,150.7,158.4,5.1,"72,270",https://www.bls.gov/ooh/media-and-communication/writers-and-authors.htm
        Interpreters and translators,27-3091,78.3,80.1,2.3,"59,440",https://www.bls.gov/ooh/media-and-communication/interpreters-and-translators.htm
        Court reporters and simultaneous captioners,27-3092,17.5,17.9,1.8,"67,310",https://www.bls.gov/ooh/legal/court-reporters.htm
"        Media and communication workers, all other",27-3099,27.0,29.1,8.0,"71,770",
        Audio and video technicians,27-4011,87.3,91.9,5.3,"54,830",https://www.bls.gov/ooh/media-and-communication/broadcast-and-sound-engineering-technicians.htm
        Broadcast technicians,27-4012,30.0,30.0,0.1,"53,920",https://www.bls.gov/ooh/media-and-communication/broadcast-and-sound-engineering-technicians.htm
        Sound engineering technicians,27-4014,18.0,17.9,-0.5,"66,430",https://www.bls.gov/ooh/media-and-communication/broadcast-and-sound-engineering-technicians.htm
        Lighting technicians,27-4015,10.8,10.5,-3.0,"60,560",https://www.bls.gov/ooh/media-and-communication/broadcast-and-sound-engineering-technicians.htm
      Photographers,27-4021,151.1,156.9,3.9,"42,520",https://www.bls.gov/ooh/media-and-communication/photographers.htm
"        Camera operators, television, video, and film",27-4031,38.2,38.9,1.9,"68,810",https://www.bls.gov/ooh/media-and-communication/film-and-video-editors-and-camera-operators.htm
        Film and video editors,27-4032,47.2,49.4,4.7,"70,980",https://www.bls.gov/ooh/media-and-communication/film-and-video-editors-and-camera-operators.htm
"      Media and communication equipment workers, all other",27-4099,13.3,13.7,3.4,"67,190",
      Chiropractors,29-1011,61.2,67.3,9.9,"79,000",https://www.bls.gov/ooh/healthcare/chiropractors.htm
"        Dentists, general",29-1021,141.0,147.7,4.8,"172,790",https://www.bls.gov/ooh/healthcare/dentists.htm
        Oral and maxillofacial surgeons,29-1022,4.8,5.0,3.3,">=$239,200",https://www.bls.gov/ooh/healthcare/dentists.htm
        Orthodontists,29-1023,7.4,7.7,3.7,">=$239,200",https://www.bls.gov/ooh/healthcare/dentists.htm
        Prosthodontists,29-1024,0.7,0.7,3.5,">=$239,200",https://www.bls.gov/ooh/healthcare/dentists.htm
"        Dentists, all other specialists",29-1029,6.7,6.9,2.3,"225,770",https://www.bls.gov/ooh/healthcare/dentists.htm
      Dietitians and nutritionists,29-1031,81.3,87.3,7.4,"73,850",https://www.bls.gov/ooh/healthcare/dietitians-and-nutritionists.htm
      Optometrists,29-1041,49.3,53.6,8.7,"134,830",https://www.bls.gov/ooh/healthcare/optometrists.htm
      Pharmacists,29-1051,337.7,355.9,5.4,"137,480",https://www.bls.gov/ooh/healthcare/pharmacists.htm
      Physician assistants,29-1071,153.4,197.1,28.5,"133,260",https://www.bls.gov/ooh/healthcare/physician-assistants.htm
      Podiatrists,29-1081,9.7,9.8,1.4,"152,800",https://www.bls.gov/ooh/healthcare/podiatrists.htm
        Occupational therapists,29-1122,150.5,167.3,11.1,"98,340",https://www.bls.gov/ooh/healthcare/occupational-therapists.htm
        Physical therapists,29-1123,259.2,296.0,14.2,"101,020",https://www.bls.gov/ooh/healthcare/physical-therapists.htm
        Radiation therapists,29-1124,17.2,17.7,3.1,"101,990",https://www.bls.gov/ooh/healthcare/radiation-therapists.htm
        Recreational therapists,29-1125,16.6,17.3,4.3,"60,280",https://www.bls.gov/ooh/healthcare/recreational-therapists.htm
        Respiratory therapists,29-1126,133.9,151.4,13.1,"80,450",https://www.bls.gov/ooh/healthcare/respiratory-therapists.htm
        Speech-language pathologists,29-1127,180.8,214.1,18.4,"95,410",https://www.bls.gov/ooh/healthcare/speech-language-pathologists.htm
        Exercise physiologists,29-1128,21.5,23.7,10.4,"58,160",https://www.bls.gov/ooh/healthcare/exercise-physiologists.htm
"        Therapists, all other",29-1129,43.2,48.3,11.8,"65,010",
      Veterinarians,29-1131,88.2,105.0,19.1,"125,510",https://www.bls.gov/ooh/healthcare/veterinarians.htm
      Registered nurses,29-1141,"3,300.1","3,497.3",6.0,"93,600",https://www.bls.gov/ooh/healthcare/registered-nurses.htm
      Nurse anesthetists,29-1151,49.9,55.1,10.4,"223,210",https://www.bls.gov/ooh/healthcare/nurse-anesthetists-nurse-midwives-and-nurse-practitioners.htm
      Nurse midwives,29-1161,7.2,7.7,7.1,"128,790",https://www.bls.gov/ooh/healthcare/nurse-anesthetists-nurse-midwives-and-nurse-practitioners.htm
      Nurse practitioners,29-1171,292.5,427.9,46.3,"129,210",https://www.bls.gov/ooh/healthcare/nurse-anesthetists-nurse-midwives-and-nurse-practitioners.htm
      Audiologists,29-1181,14.4,16.0,10.9,"92,120",https://www.bls.gov/ooh/healthcare/audiologists.htm
        Anesthesiologists,29-1211,36.1,37.6,4.0,">=$239,200",https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm
        Cardiologists,29-1212,16.4,17.2,5.0,">=$239,200",https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm
        Dermatologists,29-1213,13.0,13.9,7.1,">=$239,200",https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm
        Emergency medicine physicians,29-1214,37.6,39.0,3.5,">=$239,200",https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm
        Family medicine physicians,29-1215,120.3,126.1,4.8,"238,380",https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm
        General internal medicine physicians,29-1216,73.8,76.3,3.4,"236,350",https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm
        Neurologists,29-1217,10.1,10.8,6.8,">=$239,200",https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm
        Obstetricians and gynecologists,29-1218,21.3,22.0,3.3,">=$239,200",https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm
"        Pediatricians, general",29-1221,37.7,38.5,2.1,"210,130",https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm
"        Physicians, pathologists",29-1222,11.8,12.5,5.5,">=$239,200",https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm
        Psychiatrists,29-1223,27.0,29.1,7.6,">=$239,200",https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm
        Radiologists,29-1224,34.3,35.6,3.6,">=$239,200",https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm
"        Physicians, all other",29-1229,337.0,350.1,3.9,">=$239,200",https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm
"        Ophthalmologists, except pediatric",29-1241,12.4,12.9,4.5,">=$239,200",https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm
"        Orthopedic surgeons, except pediatric",29-1242,16.0,16.6,4.2,">=$239,200",https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm
        Pediatric surgeons,29-1243,1.3,1.3,2.0,">=$239,200",https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm
"        Surgeons, all other",29-1249,28.4,29.6,4.3,">=$239,200",https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm
        Acupuncturists,29-1291,22.1,23.3,5.5,"78,140",
        Dental hygienists,29-1292,214.1,233.7,9.2,"94,260",https://www.bls.gov/ooh/healthcare/dental-hygienists.htm
"        Healthcare diagnosing or treating practitioners, all other",29-1299,40.4,41.5,2.6,"113,730",
      Clinical laboratory technologists and technicians,29-2010,344.2,362.5,5.3,"61,890",https://www.bls.gov/ooh/healthcare/clinical-laboratory-technologists-and-technicians.htm
        Cardiovascular technologists and technicians,29-2031,58.4,60.9,4.2,"67,260",https://www.bls.gov/ooh/healthcare/diagnostic-medical-sonographers.htm
        Diagnostic medical sonographers,29-2032,84.9,97.7,15.1,"89,340",https://www.bls.gov/ooh/healthcare/diagnostic-medical-sonographers.htm
        Nuclear medicine technologists,29-2033,17.8,17.6,-1.3,"97,020",https://www.bls.gov/ooh/healthcare/nuclear-medicine-technologists.htm
        Radiologic technologists and technicians,29-2034,227.8,241.0,5.8,"77,660",https://www.bls.gov/ooh/healthcare/radiologic-technologists.htm
        Magnetic resonance imaging technologists,29-2035,43.4,47.0,8.4,"88,180",https://www.bls.gov/ooh/healthcare/radiologic-technologists.htm
        Medical dosimetrists,29-2036,4.2,4.5,5.4,"138,110",https://www.bls.gov/ooh/healthcare/medical-dosimetrists.htm
        Emergency medical technicians,29-2042,169.7,180.0,6.1,"41,340",https://www.bls.gov/ooh/healthcare/emts-and-paramedics.htm
        Paramedics,29-2043,100.6,106.5,5.9,"58,410",https://www.bls.gov/ooh/healthcare/emts-and-paramedics.htm
        Dietetic technicians,29-2051,25.0,26.1,4.3,"37,040",
        Pharmacy technicians,29-2052,463.9,497.2,7.2,"43,460",https://www.bls.gov/ooh/healthcare/pharmacy-technicians.htm
        Psychiatric technicians,29-2053,124.6,145.8,17.1,"42,590",https://www.bls.gov/ooh/healthcare/psychiatric-technicians-and-aides.htm
        Surgical technologists,29-2055,112.8,119.3,5.8,"62,830",https://www.bls.gov/ooh/healthcare/surgical-technologists.htm
        Veterinary technologists and technicians,29-2056,125.7,150.0,19.3,"45,980",https://www.bls.gov/ooh/healthcare/veterinary-technologists-and-technicians.htm
        Ophthalmic medical technicians,29-2057,74.8,85.3,14.1,"44,080",
      Licensed practical and licensed vocational nurses,29-2061,657.8,674.7,2.6,"62,340",https://www.bls.gov/ooh/healthcare/licensed-practical-and-licensed-vocational-nurses.htm
      Medical records specialists,29-2072,191.5,208.2,8.7,"50,250",https://www.bls.gov/ooh/healthcare/medical-records-and-health-information-technicians.htm
"      Opticians, dispensing",29-2081,77.3,79.5,2.9,"46,560",https://www.bls.gov/ooh/healthcare/opticians-dispensing.htm
        Orthotists and prosthetists,29-2091,9.1,10.4,15.1,"78,310",https://www.bls.gov/ooh/healthcare/orthotists-and-prosthetists.htm
        Hearing aid specialists,29-2092,10.5,12.0,14.9,"61,560",
"        Health technologists and technicians, all other",29-2099,177.9,190.4,7.0,"48,790",
      Health information technologists and medical registrars,29-9021,39.1,45.5,16.3,"67,310",https://www.bls.gov/ooh/healthcare/health-information-technologists-and-medical-registrars.htm
        Athletic trainers,29-9091,34.3,38.7,12.7,"60,250",https://www.bls.gov/ooh/healthcare/athletic-trainers.htm
        Genetic counselors,29-9092,3.5,4.1,16.1,"98,910",https://www.bls.gov/ooh/healthcare/genetic-counselors.htm
        Surgical assistants,29-9093,21.3,22.7,6.7,"60,290",https://www.bls.gov/ooh/healthcare/surgical-technologists.htm
"        Healthcare practitioners and technical workers, all other",29-9099,41.9,44.3,5.8,"64,030",
      Home health and personal care aides,31-1120,"3,961.9","4,782.4",20.7,"34,900",https://www.bls.gov/ooh/healthcare/home-health-aides-and-personal-care-aides.htm
        Nursing assistants,31-1131,"1,419.4","1,481.8",4.4,"39,530",https://www.bls.gov/ooh/healthcare/nursing-assistants.htm
        Orderlies,31-1132,50.0,52.2,4.5,"37,700",https://www.bls.gov/ooh/healthcare/nursing-assistants.htm
        Psychiatric aides,31-1133,36.0,36.3,0.8,"41,590",https://www.bls.gov/ooh/healthcare/psychiatric-technicians-and-aides.htm
        Occupational therapy assistants,31-2011,47.5,58.1,22.3,"68,340",https://www.bls.gov/ooh/healthcare/occupational-therapy-assistants-and-aides.htm
        Occupational therapy aides,31-2012,4.6,4.8,3.7,"37,370",https://www.bls.gov/ooh/healthcare/occupational-therapy-assistants-and-aides.htm
        Physical therapist assistants,31-2021,108.5,136.0,25.4,"65,510",https://www.bls.gov/ooh/healthcare/physical-therapist-assistants-and-aides.htm
        Physical therapist aides,31-2022,44.3,45.6,2.9,"34,520",https://www.bls.gov/ooh/healthcare/physical-therapist-assistants-and-aides.htm
      Massage therapists,31-9011,147.1,173.2,17.7,"57,950",https://www.bls.gov/ooh/healthcare/massage-therapists.htm
        Dental assistants,31-9091,376.5,408.0,8.4,"47,300",https://www.bls.gov/ooh/healthcare/dental-assistants.htm
        Medical assistants,31-9092,783.9,901.9,15.0,"44,200",https://www.bls.gov/ooh/healthcare/medical-assistants.htm
        Medical equipment preparers,31-9093,70.7,74.7,5.7,"46,490",
        Medical transcriptionists,31-9094,54.5,51.9,-4.7,"37,550",https://www.bls.gov/ooh/healthcare/medical-transcriptionists.htm
        Pharmacy aides,31-9095,44.0,44.4,0.9,"37,000",
        Veterinary assistants and laboratory animal caretakers,31-9096,118.2,141.1,19.4,"37,320",https://www.bls.gov/ooh/healthcare/veterinary-assistants-and-laboratory-animal-caretakers.htm
        Phlebotomists,31-9097,141.2,152.2,7.8,"43,660",https://www.bls.gov/ooh/healthcare/phlebotomists.htm
"        Healthcare support workers, all other",31-9099,108.5,114.6,5.6,"46,050",
        First-line supervisors of correctional officers,33-1011,55.5,54.6,-1.6,"76,310",
        First-line supervisors of police and detectives,33-1012,144.5,150.0,3.8,"105,980",
      First-line supervisors of firefighting and prevention workers,33-1021,87.0,90.7,4.2,"92,430",
        First-line supervisors of security workers,33-1091,67.8,70.3,3.7,"58,610",
"        First-line supervisors of protective service workers, all other",33-1099,20.7,21.6,4.0,"74,960",
      Firefighters,33-2011,326.8,340.5,4.2,"59,530",https://www.bls.gov/ooh/protective-service/firefighters.htm
        Fire inspectors and investigators,33-2021,14.9,15.5,4.5,"78,060",https://www.bls.gov/ooh/protective-service/fire-inspectors-and-investigators.htm
        Forest fire inspectors and prevention specialists,33-2022,2.4,2.8,16.3,"52,380",https://www.bls.gov/ooh/protective-service/fire-inspectors-and-investigators.htm
        Bailiffs,33-3011,16.7,16.5,-1.4,"57,050",https://www.bls.gov/ooh/protective-service/correctional-officers.htm
        Correctional officers and jailers,33-3012,370.9,346.0,-6.7,"57,970",https://www.bls.gov/ooh/protective-service/correctional-officers.htm
      Detectives and criminal investigators,33-3021,113.4,116.0,2.3,"93,580",https://www.bls.gov/ooh/protective-service/police-and-detectives.htm
      Fish and game wardens,33-3031,6.8,6.5,-5.0,"68,180",https://www.bls.gov/ooh/protective-service/police-and-detectives.htm
      Parking enforcement workers,33-3041,7.9,7.9,-0.4,"47,150",
        Police and sheriff's patrol officers,33-3051,674.2,700.6,3.9,"76,290",https://www.bls.gov/ooh/protective-service/police-and-detectives.htm
        Transit and railroad police,33-3052,2.4,2.5,3.5,"82,320",https://www.bls.gov/ooh/protective-service/police-and-detectives.htm
      Animal control workers,33-9011,12.0,12.6,4.9,"45,830",
      Private detectives and investigators,33-9021,38.8,40.7,5.0,"52,370",https://www.bls.gov/ooh/protective-service/private-detectives-and-investigators.htm
        Gambling surveillance officers and gambling investigators,33-9031,11.0,11.3,2.6,"43,900",https://www.bls.gov/ooh/protective-service/security-guards.htm
        Security guards,33-9032,"1,229.6","1,256.3",2.2,"38,370",https://www.bls.gov/ooh/protective-service/security-guards.htm
        Crossing guards and flaggers,33-9091,93.0,97.2,4.5,"37,700",
"        Lifeguards, ski patrol, and other recreational protective service workers",33-9092,129.1,137.9,6.8,"33,720",
        Transportation security screeners,33-9093,51.7,52.2,0.9,"63,360",
        School bus monitors,33-9094,70.1,68.4,-2.4,"34,980",
"        Protective service workers, all other",33-9099,83.5,86.3,3.3,"41,600",
      Chefs and head cooks,35-1011,187.1,202.6,8.3,"60,990",https://www.bls.gov/ooh/food-preparation-and-serving/chefs-and-head-cooks.htm
      First-line supervisors of food preparation and serving workers,35-1012,"1,211.4","1,288.2",6.3,"42,010",
"        Cooks, fast food",35-2011,682.2,588.5,-13.7,"30,160",https://www.bls.gov/ooh/food-preparation-and-serving/cooks.htm
"        Cooks, institution and cafeteria",35-2012,456.3,471.1,3.3,"36,450",https://www.bls.gov/ooh/food-preparation-and-serving/cooks.htm
"        Cooks, private household",35-2013,37.8,35.4,-6.3,"44,530",https://www.bls.gov/ooh/food-preparation-and-serving/cooks.htm
"        Cooks, restaurant",35-2014,"1,434.2","1,678.6",17.0,"36,830",https://www.bls.gov/ooh/food-preparation-and-serving/cooks.htm
"        Cooks, short order",35-2015,128.8,123.5,-4.1,"35,620",https://www.bls.gov/ooh/food-preparation-and-serving/cooks.htm
"        Cooks, all other",35-2019,20.0,21.1,5.2,"36,210",https://www.bls.gov/ooh/food-preparation-and-serving/cooks.htm
      Food preparation workers,35-2021,904.8,870.8,-3.8,"34,220",https://www.bls.gov/ooh/food-preparation-and-serving/food-preparation-workers.htm
      Bartenders,35-3011,734.3,798.9,8.8,"33,530",https://www.bls.gov/ooh/food-preparation-and-serving/bartenders.htm
      Fast food and counter workers,35-3023,"3,734.1","3,946.5",5.7,"30,480",https://www.bls.gov/ooh/food-preparation-and-serving/food-and-beverage-serving-and-related-workers.htm
      Waiters and waitresses,35-3031,"2,277.9","2,300.8",1.0,"33,760",https://www.bls.gov/ooh/food-preparation-and-serving/waiters-and-waitresses.htm
"      Food servers, nonrestaurant",35-3041,278.6,292.2,4.9,"34,460",https://www.bls.gov/ooh/food-preparation-and-serving/food-and-beverage-serving-and-related-workers.htm
      Dining room and cafeteria attendants and bartender helpers,35-9011,493.8,534.7,8.3,"32,670",https://www.bls.gov/ooh/food-preparation-and-serving/food-and-beverage-serving-and-related-workers.htm
      Dishwashers,35-9021,475.0,481.9,1.4,"33,670",
"      Hosts and hostesses, restaurant, lounge, and coffee shop",35-9031,435.6,437.0,0.3,"30,380",https://www.bls.gov/ooh/food-preparation-and-serving/food-and-beverage-serving-and-related-workers.htm
"      Food preparation and serving related workers, all other",35-9099,88.6,95.3,7.6,"34,830",
      First-line supervisors of housekeeping and janitorial workers,37-1011,241.6,251.4,4.0,"47,520",
"      First-line supervisors of landscaping, lawn service, and groundskeeping workers",37-1012,222.4,230.2,3.5,"56,170",
